Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
132.Botnaru Alexie  ,  figuran ,  vampire , flexitarian , 
132.Stanescu Petre  ,  figuran ,  mermaid , vegetarian , 
132.Bădărău Sebastian  ,  figuran ,  mermaid , flexitarian , 
132.Brenduș Lidia  ,  figuran ,  human , anything , 
132.Botnari Ghita  ,  figuran ,  seer , anything , 
132.Bîrloiu Diana  ,  figuran ,  human , vegetarian , 
132.Antal Manuel  ,  figuran ,  human , vegetarian , 
132.Bodescu Ioana  ,  figuran ,  werewolf , anything , 
132.Brumaru Basarab  ,  figuran ,  mermaid , flexitarian , 
132.Baracci Marin  ,  figuran ,  vampire , flexitarian , 
132.Arnautu Bogdan  ,  figuran ,  vampire , anything , 
132.Bazon Stefan  ,  figuran ,  vampire , vegetarian , 
132.Bozga Cristi  ,  figuran ,  seer , flexitarian , 
132.Bolliac Gratiela  ,  figuran ,  mermaid , vegetarian , 
132.Bereș Andreas  ,  figuran ,  werewolf , vegetarian , 
132.Botean Oana  ,  figuran ,  seer , vegetarian , 
132.Brumaru Basarab  ,  figuran ,  mermaid , flexitarian , 
132.Bărboianu Liliana  ,  figuran ,  mermaid , anything , 
132.Borăscu Anton  ,  figuran ,  seer , flexitarian , 
132.Averescu  Brandusa  ,  figuran ,  seer , vegetarian , 
132.Brânzeu Stefan  ,  figuran ,  mermaid , anything , 
132.Andone Liviu  ,  figuran ,  mermaid , flexitarian , 
132.Bărbulescu Benedict  ,  figuran ,  werewolf , anything , 
132.Bujo Dida  ,  figuran ,  human , vegetarian , 
132.Grigorescu George  ,  figuran ,  seer , flexitarian , 
132.Anghelache Sorin  ,  figuran ,  human , flexitarian , 
132.Florescu Gabriel  ,  figuran ,  werewolf , vegetarian , 
132.Bodescu Florentina  ,  figuran ,  werewolf , anything , 
132.Bucurescu Basarab  ,  figuran ,  mermaid , flexitarian , 
132.Bărbuceanu Nectarie  ,  figuran ,  human , vegetarian , 
132.Bănulescu Stefan  ,  figuran ,  vampire , anything , 
132.Bărboianu Grigore  ,  figuran ,  vampire , vegetarian , 
132.Bănică Ciprian  ,  figuran ,  mermaid , flexitarian , 
132.Adoc Cazimir  ,  figuran ,  vampire , vegetarian , 
132.Bîrlea George  ,  figuran ,  seer , vegetarian , 
132.Barbu Razvan  ,  figuran ,  seer , flexitarian , 
132.Alexa  Ileana  ,  figuran ,  seer , anything , 
132.Avramescu Anisoara  ,  figuran ,  werewolf , anything , 
132.Brediceanu Marin  ,  figuran ,  mermaid , flexitarian , 
132.Bogos Amalia  ,  figuran ,  vampire , vegetarian , 
132.Alifantis Eugen  ,  figuran ,  mermaid , anything , 
132.Argeșanu Andrei  ,  figuran ,  werewolf , anything , 
132.Adameșteanu Norbert  ,  figuran ,  vampire , flexitarian , 
132.Bordea Mihaela  ,  figuran ,  vampire , flexitarian , 
132.Botezan Gabriela  ,  figuran ,  werewolf , flexitarian , 
132.Bacalbașa Emilian  ,  figuran ,  mermaid , vegetarian , 
132.Angelescu Cornel  ,  figuran ,  vampire , anything , 
132.Baconsky Geta  ,  figuran ,  vampire , vegetarian , 
132.Boștină Aurelia  ,  figuran ,  werewolf , anything , 
132.Băsescu  Pavel  ,  figuran ,  human , anything , 
132.Băsescu  Alex  ,  figuran ,  human , flexitarian , 
132.Bodnăraș Andreas  ,  figuran ,  werewolf , anything , 
132.Valisescu Cristina  ,  figuran ,  seer , flexitarian , 
132.Bujo Cristina  ,  figuran ,  seer , flexitarian , 
132.Banciu  Florina  ,  figuran ,  werewolf , vegetarian , 
132.Breban Benone  ,  figuran ,  werewolf , flexitarian , 
132.Brătianu Denisa  ,  figuran ,  seer , anything , 
132.Almășan Toma  ,  figuran ,  human , flexitarian , 
132.Bazon Gabriel  ,  figuran ,  mermaid , flexitarian , 
132.Baconsky Denis  ,  figuran ,  seer , flexitarian , 
132.Brănescu Camelia  ,  figuran ,  mermaid , anything , 
132.Arnăutu Dragos  ,  figuran ,  vampire , flexitarian , 
132.Brateș Luca  ,  figuran ,  vampire , vegetarian , 
132.Bălan Laurentiu  ,  figuran ,  mermaid , flexitarian , 
132.Botnari Gelu  ,  figuran ,  vampire , anything , 
132.Basarabeanu Daniel  ,  figuran ,  seer , flexitarian , 
132.Baconschi Felicia  ,  figuran ,  vampire , vegetarian , 
132.Băloșescu Calin  ,  figuran ,  human , flexitarian , 
132.Baconsky Gratiela  ,  figuran ,  vampire , flexitarian , 
132.Valisescu Mihai  ,  figuran ,  werewolf , anything , 
132.Bârsănescu Andrei  ,  figuran ,  human , vegetarian , 
132.Borcea Adelin  ,  figuran ,  human , vegetarian , 
132.Bârcă Amalia  ,  figuran ,  seer , vegetarian , 
132.Negoita Geta  ,  figuran ,  werewolf , anything , 
132.Brănescu Liliana  ,  figuran ,  werewolf , anything , 
132.Adamescu Ion  ,  figuran ,  vampire , flexitarian , 
132.Bârcă Filoftea  ,  figuran ,  seer , flexitarian , 
132.Bărboianu Daniel  ,  figuran ,  mermaid , vegetarian , 
132.Balauru Manuel  ,  figuran ,  vampire , anything , 
132.Balanici Andrei  ,  figuran ,  mermaid , flexitarian , 
132.Angelescu Barbu  ,  figuran ,  seer , flexitarian , 
132.Buhagiar Razvan  ,  figuran ,  seer , flexitarian , 
132.Brașoveanu Iurie  ,  figuran ,  vampire , flexitarian , 
132.Bentoiu Daniel  ,  figuran ,  seer , flexitarian , 
132.Bozga Gratiela  ,  figuran ,  human , vegetarian , 
132.Bogos Aurelia  ,  figuran ,  mermaid , vegetarian , 
132.Bujo Aurelia  ,  figuran ,  vampire , vegetarian , 
132.Băloșescu Luminita  ,  figuran ,  mermaid , vegetarian , 
132.Agîrbiceanu Aurelia  ,  figuran ,  seer , anything , 
132.Basarabeanu Nicolae  ,  figuran ,  mermaid , anything , 
132.Apostol Ana  ,  figuran ,  mermaid , vegetarian , 
132.Bădărău Lazar  ,  figuran ,  seer , anything , 
132.Avramescu Cezar  ,  figuran ,  vampire , flexitarian , 
132.Boteanu Marian  ,  figuran ,  mermaid , flexitarian , 
132.Adameșteanu Filip  ,  figuran ,  werewolf , flexitarian , 
132.Bibescu Emilian  ,  figuran ,  mermaid , anything , 
132.Bozgă Vasile  ,  figuran ,  seer , flexitarian , 
132.Angelescu Benone  ,  figuran ,  werewolf , anything , 
132.Adamache Emilian  ,  figuran ,  seer , flexitarian , 
132.Arnăutu Matei  ,  figuran ,  seer , flexitarian , 
132.Antal Luca  ,  figuran ,  seer , vegetarian , 
132.Bega  Gelu  ,  figuran ,  human , vegetarian , 
132.Brediceanu Aurelia  ,  figuran ,  mermaid , vegetarian , 
132.Bădulescu Diana  ,  figuran ,  werewolf , flexitarian , 
132.Brănescu Emilian  ,  figuran ,  vampire , vegetarian , 
132.Berindei  Anca  ,  figuran ,  seer , flexitarian , 
132.Brânzeu Alexie  ,  figuran ,  seer , vegetarian , 
132.Bătrîneanu Andreea  ,  figuran ,  seer , flexitarian , 
132.Antonescu Mihai  ,  figuran ,  vampire , vegetarian , 
132.Athanasiu Felicia  ,  figuran ,  human , vegetarian , 
132.Brediceanu Florina  ,  figuran ,  mermaid , flexitarian , 
132.Argetoianu Norbert  ,  figuran ,  vampire , anything , 
132.Baciu Anisoara  ,  figuran ,  mermaid , anything , 
132.Botezan Teodosie  ,  figuran ,  vampire , vegetarian , 
132.Grigorescu Flavia  ,  figuran ,  seer , flexitarian , 
132.Berindei  Felicia  ,  figuran ,  vampire , vegetarian , 
132.Anghel Leon  ,  figuran ,  vampire , vegetarian , 
132.Botnaru Paul  ,  figuran ,  seer , anything , 
132.Athanasiu Augustina  ,  figuran ,  mermaid , anything , 
132.Bozga Ana  ,  figuran ,  human , vegetarian , 
132.Botezan Ilarie  ,  figuran ,  mermaid , vegetarian , 
132.Bercea Anisoara  ,  figuran ,  mermaid , flexitarian , 
132.Breban Vasile  ,  figuran ,  werewolf , vegetarian , 
132.Apostol Laurentiu  ,  figuran ,  vampire , anything , 
132.Brătescu Anica  ,  figuran ,  mermaid , flexitarian , 
132.Alexi Adelin  ,  figuran ,  human , vegetarian , 
132.Ardelean Cezar  ,  figuran ,  mermaid , flexitarian , 
132.Anghelescu Maria  ,  figuran ,  seer , vegetarian , 
132.Bejenaru Liviu  ,  figuran ,  mermaid , vegetarian , 
132.Blaga  Pavel  ,  figuran ,  mermaid , flexitarian , 
132.Basarabeanu Ioan  ,  figuran ,  seer , anything , 
132.Antonescu Constanta  ,  figuran ,  vampire , flexitarian , 
132.Bichineț Bujor  ,  figuran ,  seer , flexitarian , 
132.Antal Adrian  ,  figuran ,  vampire , vegetarian , 
132.Budeanu Mariana  ,  figuran ,  human , vegetarian , 
132.Băsescu  Grigore  ,  figuran ,  human , vegetarian , 
132.Brediceanu Cornel  ,  figuran ,  seer , flexitarian , 
132.Botnari Cecilia  ,  figuran ,  mermaid , flexitarian , 
132.Adameșteanu Denisa  ,  figuran ,  human , anything , 
132.Athanasiu Luiza  ,  figuran ,  vampire , anything , 
132.Athanasiu Liviu  ,  figuran ,  seer , anything , 
132.Bălțat Diana  ,  figuran ,  human , flexitarian , 
132.Ardelean Martin  ,  figuran ,  vampire , anything , 
132.Brătianu Felix  ,  figuran ,  mermaid , anything , 
132.Valisescu Petre  ,  figuran ,  human , anything , 
132.Brânzeu Leon  ,  figuran ,  human , anything , 
132.Popescu Lazar  ,  figuran ,  mermaid , vegetarian , 
132.Berghianu Laur  ,  figuran ,  werewolf , vegetarian , 
132.Brânzan Anghel  ,  figuran ,  mermaid , anything , 
132.Bălăceanu Cosmin  ,  figuran ,  mermaid , vegetarian , 
132.Arnăuțoiu Luca  ,  figuran ,  vampire , flexitarian , 
132.Budeanu Oana  ,  figuran ,  mermaid , anything , 
132.Brâncoveanu  Eduard  ,  figuran ,  seer , vegetarian , 
132.Baghiu Anisoara  ,  figuran ,  mermaid , vegetarian , 
132.Anghelescu David  ,  figuran ,  human , vegetarian , 
132.Antonescu Constantin  ,  figuran ,  seer , flexitarian , 
132.Brașoveanu Antonia  ,  figuran ,  mermaid , vegetarian , 
132.Andone Antoaneta  ,  figuran ,  human , anything , 
132.Bibescu Arsenie  ,  figuran ,  vampire , vegetarian , 
132.Bizău Elena  ,  figuran ,  werewolf , anything , 
132.Alexandrescu Norbert  ,  figuran ,  seer , flexitarian , 
132.Averescu  Dionisie  ,  figuran ,  seer , vegetarian , 
132.Baconsky Laurentiu  ,  figuran ,  mermaid , flexitarian , 
132.Aldulescu Craciun  ,  figuran ,  werewolf , vegetarian , 
132.Apetrei Irina  ,  figuran ,  human , vegetarian , 
132.Balanici Dan  ,  figuran ,  human , anything , 
132.Amânar Stefan  ,  figuran ,  mermaid , anything , 
132.Bănățeanu Aniela  ,  figuran ,  human , vegetarian , 
132.Angelescu Barbu  ,  figuran ,  seer , flexitarian , 
132.Arnăutu Sorina  ,  figuran ,  seer , anything , 
132.Antoci Dimitrie  ,  figuran ,  human , flexitarian , 
132.Dumitrescu Ileana  ,  figuran ,  seer , flexitarian , 
132.Beclean  Filoftea  ,  figuran ,  werewolf , flexitarian , 
132.Brînzan Felicia  ,  figuran ,  werewolf , flexitarian , 
132.Broșteanu Calin  ,  figuran ,  vampire , flexitarian , 
132.Baconschi Laurentiu  ,  figuran ,  seer , flexitarian , 
132.Brătianu Adelin  ,  figuran ,  vampire , vegetarian , 
132.Bădulescu Denisa  ,  figuran ,  mermaid , vegetarian , 
132.Baconsky Anghel  ,  figuran ,  mermaid , anything , 
132.Braghiș Anghel  ,  figuran ,  mermaid , flexitarian , 
132.Bodnăraș Cosmin  ,  figuran ,  mermaid , flexitarian , 
132.Bozgă Raluca  ,  figuran ,  vampire , flexitarian , 
132.Bibescu George  ,  figuran ,  human , anything , 
132.Armășescu Eduard  ,  figuran ,  seer , flexitarian , 
132.Bosînceanu Ciprian  ,  figuran ,  mermaid , vegetarian , 
132.Bujo Anton  ,  figuran ,  mermaid , anything , 
132.Barzin Iosif  ,  figuran ,  vampire , flexitarian , 
132.Boteanu Costel  ,  figuran ,  mermaid , anything , 
132.Brânzeu David  ,  figuran ,  human , vegetarian , 
132.Florescu Sebastian  ,  figuran ,  seer , anything , 
132.Bodnăraș Lidia  ,  figuran ,  werewolf , flexitarian , 
132.Baracci Gheorghe  ,  figuran ,  human , anything , 
132.Bănică Iosif  ,  figuran ,  human , anything , 
132.Becali Ionuț  ,  figuran ,  vampire , vegetarian , 
132.Bodiul Ilie  ,  figuran ,  vampire , flexitarian , 
132.Bosînceanu Dochia  ,  figuran ,  vampire , flexitarian , 
132.Georgescu Benone  ,  figuran ,  werewolf , flexitarian , 
132.Bodiul Matei  ,  figuran ,  vampire , vegetarian , 
132.Apostoleanu Constanta  ,  figuran ,  human , anything , 
132.Armășescu Fanurie  ,  figuran ,  werewolf , vegetarian , 
132.Buhuș Pavel  ,  figuran ,  seer , vegetarian , 
132.Balanici Benone  ,  figuran ,  vampire , anything , 
132.Bercu David  ,  figuran ,  mermaid , vegetarian , 
132.Armășescu Lucretiu  ,  figuran ,  mermaid , anything , 
132.Asachi Aurica  ,  figuran ,  werewolf , vegetarian , 
132.Stanescu Cosmin  ,  figuran ,  vampire , anything , 
132.Albulescu Anca  ,  figuran ,  seer , anything , 
132.Baconski  Ileana  ,  figuran ,  werewolf , anything , 
132.Baconsky Iustin  ,  figuran ,  vampire , anything , 
132.Adameșteanu Denis  ,  figuran ,  vampire , anything , 
132.Bîrloiu Marius  ,  figuran ,  seer , flexitarian , 
132.Băsescu  Apostol  ,  figuran ,  mermaid , anything , 
132.Braghiș Adam  ,  figuran ,  vampire , anything , 
132.Botnaru Alex  ,  figuran ,  werewolf , vegetarian , 
132.Buhuș Gratiela  ,  figuran ,  werewolf , anything , 
132.Bârloiu Magdalena  ,  figuran ,  werewolf , vegetarian , 
132.Bordea Anisoara  ,  figuran ,  werewolf , flexitarian , 
132.Almășan Teodor  ,  figuran ,  mermaid , flexitarian , 
132.Barcianu  Decebal  ,  figuran ,  human , vegetarian , 
132.Arnăutu Benedict  ,  figuran ,  seer , anything , 
132.Bărbuceanu Aurica  ,  figuran ,  vampire , flexitarian , 
132.Bălănescu Doina  ,  figuran ,  werewolf , vegetarian , 
132.Almaș Bujor  ,  figuran ,  werewolf , flexitarian , 
132.Bătrîneanu Petre  ,  figuran ,  human , anything , 
132.Barzin Angelica  ,  figuran ,  mermaid , anything , 
132.Belimace Aniela  ,  figuran ,  human , flexitarian , 
132.Bozga Matei  ,  figuran ,  werewolf , flexitarian , 
132.Asachi Dochia  ,  figuran ,  werewolf , flexitarian , 
132.Bozga Georgeta  ,  figuran ,  human , anything , 
132.Bănulescu Bujor  ,  figuran ,  werewolf , anything , 
132.Brudașcu Oscar  ,  figuran ,  seer , anything , 
132.Bărboianu Geanina  ,  figuran ,  seer , flexitarian , 
132.Bârlădeanu Luchian  ,  figuran ,  mermaid , vegetarian , 
132.Bârloiu Decebal  ,  figuran ,  vampire , vegetarian , 
132.Borăscu Andreea  ,  figuran ,  seer , flexitarian , 
132.Băsescu  Ioachim  ,  figuran ,  vampire , anything , 
132.Botnari Valeriu  ,  figuran ,  seer , anything , 
132.Andronic Dumitru  ,  figuran ,  vampire , flexitarian , 
132.Bîrloiu Sebastian  ,  figuran ,  mermaid , anything , 
132.Andreoiu Adrian  ,  figuran ,  seer , vegetarian , 
132.Bizău Gabriela  ,  figuran ,  seer , anything , 
132.Albulescu Benone  ,  figuran ,  seer , flexitarian , 
132.Bădărău Eugenia  ,  figuran ,  mermaid , vegetarian , 
132.Bratu Dumitru  ,  figuran ,  vampire , flexitarian , 
132.Apostu Valeriu  ,  figuran ,  mermaid , vegetarian , 
132.Bîrloiu Andreea  ,  figuran ,  human , vegetarian , 
132.Ionescu Gabriel  ,  figuran ,  werewolf , vegetarian , 
132.Argeșanu Gheorghe  ,  figuran ,  werewolf , vegetarian , 
132.Barbu Amalia  ,  figuran ,  seer , vegetarian , 
132.Buhagiar Costel  ,  figuran ,  seer , flexitarian , 
132.Ardeleanu David  ,  figuran ,  human , vegetarian , 
132.Bozgă Cristofor  ,  figuran ,  human , anything , 
132.Athanasiu Teodosie  ,  figuran ,  mermaid , flexitarian , 
132.Bonciu Dan  ,  figuran ,  seer , vegetarian , 
132.Alexa  Adrian  ,  figuran ,  vampire , vegetarian , 
132.Brezeanu Valentin  ,  figuran ,  mermaid , flexitarian , 
132.Bănică Gratiela  ,  figuran ,  werewolf , flexitarian , 
132.Negoita Zahari  ,  figuran ,  werewolf , vegetarian , 
132.Aman Ionuț  ,  figuran ,  vampire , vegetarian , 
132.Grigorescu Sorina  ,  figuran ,  werewolf , flexitarian , 
132.Buhuș Florica  ,  figuran ,  human , flexitarian , 
132.Bujo Anisoara  ,  figuran ,  seer , vegetarian , 
132.Bechet  Madalin  ,  figuran ,  vampire , anything , 
132.Brâncuși  Laur  ,  figuran ,  mermaid , flexitarian , 
132.Balanici Ilarie  ,  figuran ,  vampire , flexitarian , 
132.Athanasiu Grigore  ,  figuran ,  human , anything , 
132.Agaparian Manole  ,  figuran ,  mermaid , flexitarian , 
132.Alexe Anica  ,  figuran ,  human , anything , 
132.Băsescu  Anca  ,  figuran ,  werewolf , flexitarian , 
132.Alexe Flavia  ,  figuran ,  mermaid , flexitarian , 
132.Andronic Lucretiu  ,  figuran ,  seer , flexitarian , 
132.Brătescu Eusebiu  ,  figuran ,  human , flexitarian , 
132.Boteanu Damian  ,  figuran ,  werewolf , flexitarian , 
132.Almășan Benjamin  ,  figuran ,  seer , anything , 
132.Băsescu  Matei  ,  figuran ,  werewolf , vegetarian , 
132.Bănățeanu Eduard  ,  figuran ,  werewolf , anything , 
132.Argeșanu Brandusa  ,  figuran ,  mermaid , vegetarian , 
132.Brătescu Anisoara  ,  figuran ,  seer , flexitarian , 
132.Anghelache Camelia  ,  figuran ,  mermaid , flexitarian , 
132.Brumaru Martin  ,  figuran ,  seer , flexitarian , 
132.Popescu Iurie  ,  figuran ,  werewolf , flexitarian , 
132.Andronic Laur  ,  figuran ,  human , anything , 
132.Aldulescu Aniela  ,  figuran ,  werewolf , flexitarian , 
132.Antoci Ancuta  ,  figuran ,  vampire , flexitarian , 
132.Bega  Anisoara  ,  figuran ,  werewolf , anything , 
132.Bălan Anghel  ,  figuran ,  werewolf , anything , 
132.Aldulescu Spiridon  ,  figuran ,  vampire , vegetarian , 
132.Botezan Vasile  ,  figuran ,  vampire , flexitarian , 
132.Breban Angelica  ,  figuran ,  seer , vegetarian , 
132.Apostoleanu Benone  ,  figuran ,  seer , flexitarian , 
132.Basarabeanu Denis  ,  figuran ,  werewolf , flexitarian , 
132.Baconsky Ioana  ,  figuran ,  human , anything , 
132.Boteanu Basarab  ,  figuran ,  vampire , anything , 
132.Stanescu Ghita  ,  figuran ,  mermaid , anything , 
132.Adamache Efrem  ,  figuran ,  seer , flexitarian , 
132.Bîrloiu Apostol  ,  figuran ,  seer , anything , 
132.Apostoleanu Anton  ,  figuran ,  seer , flexitarian , 
132.Brateș Felix  ,  figuran ,  seer , anything , 
132.Brenduș Filip  ,  figuran ,  werewolf , anything , 
132.Băloșescu Cazimir  ,  figuran ,  werewolf , flexitarian , 
132.Aman Augustina  ,  figuran ,  vampire , anything , 
132.Besoiu Cecilia  ,  figuran ,  vampire , flexitarian , 
132.Botezan Alin  ,  figuran ,  seer , vegetarian , 
132.Bechet  Bartolomeu  ,  figuran ,  werewolf , flexitarian , 
132.Alifantis Dan  ,  figuran ,  seer , flexitarian , 
132.Bazon Stefan  ,  figuran ,  mermaid , anything , 
132.Brateș Adam  ,  figuran ,  vampire , anything , 
132.Almășan Aurora  ,  figuran ,  seer , vegetarian , 
132.Andreoiu Andreea  ,  figuran ,  seer , anything , 
132.Brediceanu Gheorghe  ,  figuran ,  vampire , flexitarian , 
132.Botnaru Anca  ,  figuran ,  human , flexitarian , 
132.Popescu Ioachim  ,  figuran ,  mermaid , flexitarian , 
132.Brânzeu Doina  ,  figuran ,  human , flexitarian , 
132.Bârloiu Ciprian  ,  figuran ,  vampire , flexitarian , 
132.Bizău Laur  ,  figuran ,  vampire , vegetarian , 
132.Berghianu Dionisie  ,  figuran ,  seer , anything , 
132.Bănică Mariana  ,  figuran ,  mermaid , anything , 
132.Bătrâneanu Lacramioara  ,  figuran ,  werewolf , flexitarian , 
132.Basarabeanu Oscar  ,  figuran ,  seer , anything , 
132.Avramescu Anton  ,  figuran ,  mermaid , vegetarian , 
132.Arnautu Camil  ,  figuran ,  vampire , vegetarian , 
132.Alexandrescu Martin  ,  figuran ,  vampire , vegetarian , 
132.Alexi Fanurie  ,  figuran ,  seer , vegetarian , 
132.Bârlădeanu Dionisie  ,  figuran ,  vampire , flexitarian , 
132.Bodiu Loredana  ,  figuran ,  mermaid , vegetarian , 
132.Ardeleanu Andrei  ,  figuran ,  human , anything , 
132.Banciu  Irina  ,  figuran ,  human , flexitarian , 
132.Berghianu Stefan  ,  figuran ,  mermaid , vegetarian , 
132.Brateș Leon  ,  figuran ,  werewolf , vegetarian , 
132.Bănulescu Mihail  ,  figuran ,  mermaid , flexitarian , 
132.Bosânceanu Liviu  ,  figuran ,  human , anything , 
132.Bărboianu Vasile  ,  figuran ,  mermaid , vegetarian , 
132.Bozgă Lucretiu  ,  figuran ,  mermaid , flexitarian , 
132.Brâncoveanu  Laurentiu  ,  figuran ,  mermaid , flexitarian , 
132.Botean Emilian  ,  figuran ,  seer , vegetarian , 
132.Bodescu Laura  ,  figuran ,  mermaid , anything , 
132.Bălțat Liviu  ,  figuran ,  werewolf , flexitarian , 
